list,item,adjective,context,context_sentence,target_sentence,correct,pictures,condition,target_picture,control_picture,neither_picture,condition_randomizer,Picture_1,Picture_2,Picture_3
5,21,old,relative,Cassandra really loves her grandma so she went to the retirement home to visit her.,“Show me the old grandma”,neither,sentence,target_absent,f10_OldGrandma_1.jpg,f10_OldGrandma_2.jpg,cross.jpg,filler,old man,red cross,young kid
6,21,old,relative,Cassandra really loves her grandma so she went to the retirement home to visit her.,“Show me the old grandma”,neither,sentence,target_absent,f10_OldGrandma_1.jpg,f10_OldGrandma_2.jpg,cross.jpg,filler,old man,red cross,young kid
1,22,fat,relative,Tony's cat eats so much that Tony has to take him to the vet regularly for diabetes prevention.,“Show me Tony's pet”,neither,context,target_absent,f11_FatCat_1.jpg,f11_FatCat_2.jpg,cross.jpg,filler,fat dog,red cross,skinny dog
2,22,fat,relative,Tony's cat eats so much that Tony has to take him to the vet regularly for diabetes prevention.,“Show me Tony's pet”,neither,context,target_absent,f11_FatCat_1.jpg,f11_FatCat_2.jpg,cross.jpg,filler,fat dog,red cross,skinny dog
3,22,fat,relative,Tony's cat eats so much that Tony has to take him to the vet regularly for diabetes prevention.,“Show me Tony's pet”,neither,context,target_absent,f11_FatCat_1.jpg,f11_FatCat_2.jpg,cross.jpg,filler,fat dog,red cross,skinny dog
4,22,fat,relative,Tony's cat eats so much that Tony has to take him to the vet regularly for diabetes prevention.,“Show me Tony's pet”,neither,context,target_absent,f11_FatCat_1.jpg,f11_FatCat_2.jpg,cross.jpg,filler,fat dog,red cross,skinny dog
5,22,fat,relative,Tony's cat eats so much that Tony has to take him to the vet regularly for diabetes prevention.,“Show me Tony's pet”,neither,context,target_absent,f11_FatCat_1.jpg,f11_FatCat_2.jpg,cross.jpg,filler,fat dog,red cross,skinny dog
6,22,fat,relative,Tony's cat eats so much that Tony has to take him to the vet regularly for diabetes prevention.,“Show me Tony's pet”,neither,context,target_absent,f11_FatCat_1.jpg,f11_FatCat_2.jpg,cross.jpg,filler,fat dog,red cross,skinny dog
1,23,skinny,relative,"Chloe saw a dog on the street who clearly hadn’t eaten anything in days, so she decided to take him in.  ",“Show me the skinny dog”,neither,sentence,target_absent,f12_SkinnyDog_1.jpg,f12_SkinnyDog_2.jpg,cross.jpg,filler,fat cat,red cross,skinny cat
2,23,skinny,relative,"Chloe saw a dog on the street who clearly hadn’t eaten anything in days, so she decided to take him in.  ",“Show me the skinny dog”,neither,sentence,target_absent,f12_SkinnyDog_1.jpg,f12_SkinnyDog_2.jpg,cross.jpg,filler,fat cat,red cross,skinny cat
3,23,skinny,relative,"Chloe saw a dog on the street who clearly hadn’t eaten anything in days, so she decided to take him in.  ",“Show me the skinny dog”,neither,sentence,target_absent,f12_SkinnyDog_1.jpg,f12_SkinnyDog_2.jpg,cross.jpg,filler,fat cat,red cross,skinny cat
4,23,skinny,relative,"Chloe saw a dog on the street who clearly hadn’t eaten anything in days, so she decided to take him in.  ",“Show me the skinny dog”,neither,sentence,target_absent,f12_SkinnyDog_1.jpg,f12_SkinnyDog_2.jpg,cross.jpg,filler,fat cat,red cross,skinny cat
5,23,skinny,relative,"Chloe saw a dog on the street who clearly hadn’t eaten anything in days, so she decided to take him in.  ",“Show me the skinny dog”,neither,sentence,target_absent,f12_SkinnyDog_1.jpg,f12_SkinnyDog_2.jpg,cross.jpg,filler,fat cat,red cross,skinny cat
6,23,skinny,relative,"Chloe saw a dog on the street who clearly hadn’t eaten anything in days, so she decided to take him in.  ",“Show me the skinny dog”,neither,sentence,target_absent,f12_SkinnyDog_1.jpg,f12_SkinnyDog_2.jpg,cross.jpg,filler,fat cat,red cross,skinny cat
1,24,sad,mood,Tom immediately started crying after he lost his favorite toy.,“Show me Tom's face.”,target,context,target_present,f13_SadKid_1.jpg,f13_SadKid_2.jpg,cross.jpg,filler,happy kid,red cross,sad kid
2,24,sad,mood,Tom immediately started crying after he lost his favorite toy.,“Show me Tom's face.”,target,context,target_present,f13_SadKid_1.jpg,f13_SadKid_2.jpg,cross.jpg,filler,happy kid,red cross,sad kid
3,24,sad,mood,Tom immediately started crying after he lost his favorite toy.,“Show me Tom's face.”,target,context,target_present,f13_SadKid_1.jpg,f13_SadKid_2.jpg,cross.jpg,filler,happy kid,red cross,sad kid
4,24,sad,mood,Tom immediately started crying after he lost his favorite toy.,“Show me Tom's face.”,target,context,target_present,f13_SadKid_1.jpg,f13_SadKid_2.jpg,cross.jpg,filler,happy kid,red cross,sad kid
5,24,sad,mood,Tom immediately started crying after he lost his favorite toy.,“Show me Tom's face.”,target,context,target_present,f13_SadKid_1.jpg,f13_SadKid_2.jpg,cross.jpg,filler,happy kid,red cross,sad kid
6,24,sad,mood,Tom immediately started crying after he lost his favorite toy.,“Show me Tom's face.”,target,context,target_present,f13_SadKid_1.jpg,f13_SadKid_2.jpg,cross.jpg,filler,happy kid,red cross,sad kid
1,25,angry,mood,"Harper stood in front of the TV when her dad was watching a football game, which made him furious.",“Show me Harper's dad”,target,context,target_present,f14_AngryDad_1.jpg,f14_AngryDad_2.jpg,cross.jpg,filler,happy dad,red cross,angry dad
2,25,angry,mood,"Harper stood in front of the TV when her dad was watching a football game, which made him furious.",“Show me Harper's dad”,target,context,target_present,f14_AngryDad_1.jpg,f14_AngryDad_2.jpg,cross.jpg,filler,happy dad,red cross,angry dad
3,25,angry,mood,"Harper stood in front of the TV when her dad was watching a football game, which made him furious.",“Show me Harper's dad”,target,context,target_present,f14_AngryDad_1.jpg,f14_AngryDad_2.jpg,cross.jpg,filler,happy dad,red cross,angry dad
4,25,angry,mood,"Harper stood in front of the TV when her dad was watching a football game, which made him furious.",“Show me Harper's dad”,target,context,target_present,f14_AngryDad_1.jpg,f14_AngryDad_2.jpg,cross.jpg,filler,happy dad,red cross,angry dad
5,25,angry,mood,"Harper stood in front of the TV when her dad was watching a football game, which made him furious.",“Show me Harper's dad”,target,context,target_present,f14_AngryDad_1.jpg,f14_AngryDad_2.jpg,cross.jpg,filler,happy dad,red cross,angry dad
6,25,angry,mood,"Harper stood in front of the TV when her dad was watching a football game, which made him furious.",“Show me Harper's dad”,target,context,target_present,f14_AngryDad_1.jpg,f14_AngryDad_2.jpg,cross.jpg,filler,happy dad,red cross,angry dad
1,26,happy,mood,Lucas finally got to see all of his friends after a long time and they were all very happy about it.,“Show me Luca's friends.”,target,context,target_present,f15_HappyFriends_1.jpg,f15_HappyFriends_2.jpg,cross.jpg,filler,angry friends,red cross,happy friends
2,26,happy,mood,Lucas finally got to see all of his friends after a long time and they were all very happy about it.,“Show me Luca's friends.”,target,context,target_present,f15_HappyFriends_1.jpg,f15_HappyFriends_2.jpg,cross.jpg,filler,angry friends,red cross,happy friends
3,26,happy,mood,Lucas finally got to see all of his friends after a long time and they were all very happy about it.,“Show me Luca's friends.”,target,context,target_present,f15_HappyFriends_1.jpg,f15_HappyFriends_2.jpg,cross.jpg,filler,angry friends,red cross,happy friends
4,26,happy,mood,Lucas finally got to see all of his friends after a long time and they were all very happy about it.,“Show me Luca's friends.”,target,context,target_present,f15_HappyFriends_1.jpg,f15_HappyFriends_2.jpg,cross.jpg,filler,angry friends,red cross,happy friends
5,26,happy,mood,Lucas finally got to see all of his friends after a long time and they were all very happy about it.,“Show me Luca's friends.”,target,context,target_present,f15_HappyFriends_1.jpg,f15_HappyFriends_2.jpg,cross.jpg,filler,angry friends,red cross,happy friends
6,26,happy,mood,Lucas finally got to see all of his friends after a long time and they were all very happy about it.,“Show me Luca's friends.”,target,context,target_present,f15_HappyFriends_1.jpg,f15_HappyFriends_2.jpg,cross.jpg,filler,angry friends,red cross,happy friends
1,27,surprised,mood,"Sophia threw a birthday party for her mom, who was very surprised and absolutely loved it.",“Show me Sophia's mom.”,neither,context,target_absent,f16_surprised_1.jpg,f16_surprised_2.jpg,cross.jpg,filler,sad mom,red cross,angry mom
2,27,surprised,mood,"Sophia threw a birthday party for her mom, who was very surprised and absolutely loved it.",“Show me Sophia's mom.”,neither,context,target_absent,f16_surprised_1.jpg,f16_surprised_2.jpg,cross.jpg,filler,sad mom,red cross,angry mom
3,27,surprised,mood,"Sophia threw a birthday party for her mom, who was very surprised and absolutely loved it.",“Show me Sophia's mom.”,neither,context,target_absent,f16_surprised_1.jpg,f16_surprised_2.jpg,cross.jpg,filler,sad mom,red cross,angry mom
4,27,surprised,mood,"Sophia threw a birthday party for her mom, who was very surprised and absolutely loved it.",“Show me Sophia's mom.”,neither,context,target_absent,f16_surprised_1.jpg,f16_surprised_2.jpg,cross.jpg,filler,sad mom,red cross,angry mom
5,27,surprised,mood,"Sophia threw a birthday party for her mom, who was very surprised and absolutely loved it.",“Show me Sophia's mom.”,neither,context,target_absent,f16_surprised_1.jpg,f16_surprised_2.jpg,cross.jpg,filler,sad mom,red cross,angry mom
6,27,surprised,mood,"Sophia threw a birthday party for her mom, who was very surprised and absolutely loved it.",“Show me Sophia's mom.”,neither,context,target_absent,f16_surprised_1.jpg,f16_surprised_2.jpg,cross.jpg,filler,sad mom,red cross,angry mom
1,28,disgusted,mood,"Oliver took his little sister to a restaurant, but she was disgusted by the smell of the food there. ",“Show me Oliver's sister.”,neither,context,target_absent,f17_DisgustedSister_1.jpg,f17_DisgustedSister_2.jpg,cross.jpg,filler,sad girl,red cross,scared boy
2,28,disgusted,mood,"Oliver took his little sister to a restaurant, but she was disgusted by the smell of the food there. ",“Show me Oliver's sister.”,neither,context,target_absent,f17_DisgustedSister_1.jpg,f17_DisgustedSister_2.jpg,cross.jpg,filler,sad girl,red cross,scared boy
3,28,disgusted,mood,"Oliver took his little sister to a restaurant, but she was disgusted by the smell of the food there. ",“Show me Oliver's sister.”,neither,context,target_absent,f17_DisgustedSister_1.jpg,f17_DisgustedSister_2.jpg,cross.jpg,filler,sad girl,red cross,scared boy
4,28,disgusted,mood,"Oliver took his little sister to a restaurant, but she was disgusted by the smell of the food there. ",“Show me Oliver's sister.”,neither,context,target_absent,f17_DisgustedSister_1.jpg,f17_DisgustedSister_2.jpg,cross.jpg,filler,sad girl,red cross,scared boy
5,28,disgusted,mood,"Oliver took his little sister to a restaurant, but she was disgusted by the smell of the food there. ",“Show me Oliver's sister.”,neither,context,target_absent,f17_DisgustedSister_1.jpg,f17_DisgustedSister_2.jpg,cross.jpg,filler,sad girl,red cross,scared boy
6,28,disgusted,mood,"Oliver took his little sister to a restaurant, but she was disgusted by the smell of the food there. ",“Show me Oliver's sister.”,neither,context,target_absent,f17_DisgustedSister_1.jpg,f17_DisgustedSister_2.jpg,cross.jpg,filler,sad girl,red cross,scared boy
